k;d;avg;% of mispr
19;1;31.495246;0.001233
19;2;31.99633;0.0229
19;3;32.519274;0.00076
19;4;37.166806;0.877761
19;5;38.39514;0.752353
19;6;38.491738;0.658309
19;7;40.00035;0.585231
19;8;42.033946;0.526788
19;9;44.085512;0.478835
19;10;41.050142;0.438907
20;0;30.676698;0.00255
20;1;30.9141;0.0014
20;2;32.299512;0.000975
20;3;32.096132;0.00096
20;4;36.811322;0.833811
20;5;38.272604;0.714896
20;6;38.340792;0.625522
20;7;40.11609;0.556109
20;8;42.824432;0.500588
20;9;44.341268;0.454862
20;10;40.71647;0.416974
21;0;33.410838;2.382452
21;1;32.06647;0.0017
21;2;32.370462;0.00945
21;3;34.600184;0.955692
21;4;37.106384;0.794411
21;5;38.24589;0.680825
21;6;37.21159;0.59571
21;7;40.436528;0.529564
21;8;41.620774;0.476708
21;9;44.02187;0.433217
21;10;41.031356;0.397124
22;0;33.231768;2.273905
22;1;31.184796;0.002133
22;2;31.727724;0.001475
22;3;34.228434;0.909773
22;4;36.77955;0.758178
22;5;37.641404;0.649896
22;6;37.667082;0.568622
22;7;39.544178;0.505498
22;8;41.944822;0.454968
22;9;43.534436;0.413517
22;10;40.176046;0.379074
23;0;33.288898;2.362103
23;1;31.58102;0.001433
23;2;32.315586;0.00115
23;3;34.86233;0.870133
23;4;36.040068;0.725145
23;5;37.037204;0.621696
23;6;37.551322;0.543922
23;7;39.97279;0.483476
23;8;41.492774;0.435188
23;9;44.097814;0.395617
23;10;40.775668;0.362699
24;0;30.207366;0.0022
24;1;31.194198;0.0021
24;2;32.125822;0.001025
24;3;34.27677;0.834113
24;4;36.528526;0.694995
24;5;37.274622;0.595868
24;6;37.672764;0.521285
24;7;39.920198;0.463376
24;8;41.648198;0.417048
24;9;43.348892;0.379099
24;10;41.139348;0.347582
25;0;30.556572;0.0022
25;1;31.155286;0.002
25;2;32.300092;0.0009
25;3;35.076632;0.800794
25;4;36.397316;0.667196
25;5;37.652764;0.57184
25;6;37.215514;0.500497
25;7;38.903192;0.445054
25;8;42.799014;0.400388
25;9;43.302482;0.364017
25;10;40.515408;0.333674
26;0;30.52595;0.002
26;1;31.296048;0.0013
26;2;34.162248;0.96664
26;3;34.689988;0.769994
26;4;36.285088;0.641562
26;5;37.715766;0.550054
26;6;37.638454;0.481173
26;7;39.81964;0.427731
26;8;40.891868;0.385248
26;9;43.58135;0.350026
26;10;40.63805;0.320799
27;0;30.5904;0.00245
27;1;31.541648;0.002533
27;2;34.135596;0.926716
27;3;34.00087;0.741294
27;4;36.208028;0.617879
27;5;37.734662;0.529611
27;6;37.851582;0.46356
27;7;39.4179;0.411932
27;8;41.517582;0.370789
27;9;43.72493;0.337062
27;10;40.315862;0.308974
28;0;30.591832;0.0027
28;1;31.31676;0.001467
28;2;34.077496;0.893591
28;3;34.851992;0.715134
28;4;36.201046;0.595796
28;5;37.197664;0.510726
28;6;37.514242;0.446823
28;7;39.344018;0.397209
28;8;41.38474;0.357589
28;9;43.503072;0.325008
28;10;40.850074;0.297932
29;0;30.211128;0.00245
29;1;31.38288;0.001333
29;2;33.914868;0.862791
29;3;34.207834;0.690354
29;4;35.84566;0.575313
29;5;37.096704;0.49354
29;6;36.662732;0.43156
29;7;39.515796;0.383609
29;8;41.787904;0.345139
29;9;43.778672;0.313844
29;10;40.122454;0.287666
30;0;30.474598;0.00215
30;1;31.316324;0.001333
30;2;33.415444;0.834267
30;3;34.230766;0.667235
30;4;35.70641;0.55628
30;5;37.399356;0.476712
30;6;37.214306;0.417098
30;7;38.645076;0.370765
30;8;41.664136;0.333649
30;9;43.135392;0.303308
30;10;39.713128;0.278199
31;0;30.582612;0.00225
31;1;31.973288;0.001233
31;2;33.684972;0.807092
31;3;34.031544;0.645835
31;4;35.98915;0.538296
31;5;37.683878;0.461412
31;6;37.371152;0.403723
31;7;39.197324;0.35881
31;8;40.991672;0.323059
31;9;43.844732;0.293608
31;10;39.991346;0.269232
32;0;30.435552;0.002
32;1;31.290708;0.0012
32;2;33.016718;0.782142
32;3;34.47906;0.625635
32;4;36.078028;0.52138
32;5;37.394874;0.446869
32;6;36.77812;0.391111
32;7;38.914458;0.347665
32;8;40.665492;0.312879
32;9;43.404572;0.284426
32;10;39.851846;0.260707
33;0;29.531142;0.002
33;1;31.235544;0.001267
33;2;33.792312;0.758242
33;3;34.19604;0.606595
33;4;35.538274;0.50568
33;5;37.45948;0.43344
33;6;37.093264;0.379198
33;7;39.00273;0.337221
33;8;41.26239;0.303569
33;9;43.197982;0.275763
33;10;39.99344;0.252874
34;0;30.457946;0.00225
34;1;33.307528;1.276716
34;2;33.719458;0.736018
34;3;33.382094;0.588975
34;4;35.380942;0.49078
34;5;36.658614;0.42064
34;6;36.602168;0.368098
34;7;39.249488;0.327343
34;8;40.389642;0.294479
34;9;43.317346;0.26769
34;10;39.75103;0.245408
35;0;30.602942;0.0023
35;1;32.876534;0.976387
35;2;33.629022;0.714868
35;3;33.572918;0.571995
35;4;35.46095;0.47673
35;5;37.261008;0.408755
35;6;36.485848;0.357523
35;7;39.315778;0.317821
35;8;41.54844;0.286169
35;9;43.214632;0.260208
35;10;39.66882;0.238391
36;0;30.332592;0.00275
36;1;32.829956;0.926754
36;2;33.705128;0.695343
36;3;33.855554;0.556216
36;4;35.41124;0.46338
36;5;36.243734;0.397783
36;6;36.919208;0.347686
36;7;38.772168;0.309032
36;8;41.288658;0.278159
36;9;42.83309;0.252899
36;10;39.41428;0.231741
37;0;30.596464;0.0022
37;1;32.768058;0.901888
37;2;33.515478;0.676468
37;3;33.902028;0.541136
37;4;35.546388;0.450964
37;5;37.238082;0.386555
37;6;36.618918;0.338248
37;7;39.575436;0.300788
37;8;40.605402;0.270689
37;9;42.64425;0.24609
37;10;39.647434;0.225583
38;0;32.207804;1.897962
38;1;32.757758;0.878222
38;2;33.479172;0.658568
38;3;34.77385;0.526856
38;4;35.782142;0.438997
38;5;36.678722;0.376441
38;6;36.814826;0.329386
38;7;38.92968;0.292743
38;8;41.655172;0.263569
38;9;43.333062;0.239608
38;10;39.605476;0.219574
39;0;32.233428;1.392822
39;1;32.632514;0.855689
39;2;33.456012;0.641844
39;3;34.438726;0.513536
39;4;35.728628;0.42788
39;5;37.018468;0.366812
39;6;36.464764;0.320961
39;7;38.941706;0.285321
39;8;41.03955;0.256779
39;9;43.139866;0.233481
39;10;39.56571;0.213991
40;0;31.954882;1.252525
40;1;32.815848;0.834456
40;2;33.319886;0.625819
40;3;34.014436;0.500556
40;4;35.143752;0.417164
40;5;37.12611;0.357669
40;6;36.92767;0.312848
40;7;38.861058;0.278221
40;8;40.990136;0.250349
40;9;41.901114;0.227617
40;10;39.47766;0.208683
41;0;32.234006;1.430221
41;1;32.647716;0.813789
41;2;32.819402;0.610819
41;3;33.692036;0.488416
41;4;34.892494;0.406931
41;5;37.108192;0.349041
41;6;36.536084;0.305323
41;7;38.230526;0.27141
41;8;40.26025;0.244299
41;9;43.110092;0.222145
41;10;39.137578;0.203641
42;0;32.288004;1.661517
42;1;32.585046;0.794656
42;2;33.381642;0.596119
42;3;33.749106;0.476756
42;4;35.32239;0.397264
42;5;37.02187;0.340855
42;6;36.543488;0.298074
42;7;38.562044;0.26491
42;8;41.154922;0.238529
42;9;43.568822;0.216845
42;10;39.155422;0.198741
43;0;32.333898;1.602218
43;1;32.876908;0.77609
43;2;32.799536;0.582169
43;3;33.45502;0.465696
43;4;35.748898;0.388131
43;5;36.93317;0.332712
43;6;36.65989;0.291124
43;7;38.515374;0.258721
43;8;40.289912;0.233039
43;9;43.399944;0.211936
43;10;38.839686;0.194116
44;0;32.107424;1.341923
44;1;32.469618;0.75849
44;2;33.231976;0.569094
44;3;33.34681;0.455236
44;4;35.116336;0.379264
44;5;36.675942;0.32517
44;6;36.753676;0.284499
44;7;37.990634;0.252899
44;8;41.083904;0.227779
44;9;42.788088;0.206972
44;10;38.858948;0.189733
45;0;31.649548;1.440721
45;1;32.63269;0.741723
45;2;32.483452;0.556319
45;3;33.862654;0.444976
45;4;35.306712;0.370964
45;5;36.550762;0.317998
45;6;36.796988;0.278249
45;7;38.78458;0.247321
45;8;40.560698;0.222589
45;9;43.115942;0.202408
45;10;39.406826;0.185508
46;0;31.521282;1.252975
46;1;32.50723;0.725557
46;2;32.813204;0.54422
46;3;33.757676;0.435397
46;4;35.623748;0.362814
46;5;35.909548;0.311027
46;6;35.925428;0.272174
46;7;38.791244;0.242021
46;8;41.350664;0.217739
46;9;42.433452;0.197981
46;10;39.058032;0.181416
47;0;30.538722;0.00195
47;1;32.678566;0.710124
47;2;33.511314;0.53262
47;3;33.2458;0.426097
47;4;34.754448;0.355048
47;5;35.803262;0.30447
47;6;36.560312;0.266349
47;7;38.544746;0.236788
47;8;40.371078;0.213159
47;9;42.692458;0.193727
47;10;39.248146;0.177616
48;0;31.14828;1.047079
48;1;32.448966;0.695424
48;2;33.088574;0.521445
48;3;33.418038;0.417297
48;4;34.704144;0.347931
48;5;36.21279;0.298098
48;6;36.525936;0.260849
48;7;38.797122;0.231866
48;8;40.384326;0.208689
48;9;43.084678;0.189708
48;10;39.061956;0.173983
49;0;31.76882;1.02203
49;1;32.385768;0.681191
49;2;32.58145;0.510845
49;3;34.422418;0.408697
49;4;34.895402;0.340748
49;5;36.10432;0.292098
49;6;36.498732;0.255524
49;7;38.49134;0.227132
49;8;40.055786;0.204609
49;9;42.897812;0.185899
49;10;39.064714;0.170374
50;0;31.71735;1.00148
50;1;32.31133;0.667358
50;2;32.99105;0.50107
50;3;34.527314;0.400597
50;4;35.265416;0.333848
50;5;36.113908;0.286184
50;6;36.247088;0.250374
50;7;38.602082;0.222621
50;8;40.538842;0.200379
50;9;42.980932;0.182118
50;10;38.933906;0.167008
51;0;31.815896;0.98213
51;1;32.436992;0.654491
51;2;33.176476;0.491095
51;3;33.63878;0.392677
51;4;35.117136;0.327264
51;5;36.26343;0.280627
51;6;36.193582;0.245524
51;7;38.318886;0.218232
51;8;41.034404;0.196529
51;9;42.09823;0.178627
51;10;39.258582;0.163708
52;0;31.56224;0.963081
52;1;32.229202;0.642258
52;2;32.5194;0.48162
52;3;34.371578;0.385237
52;4;35.18684;0.320965
52;5;36.235258;0.275156
