k;d;avg;% of mispr
91;4;44.922803;0.182361
91;5;46.327384;0.156353
91;6;49.771854;0.136994
91;7;52.231472;0.121738
91;8;51.56941;0.109484
91;9;54.41536;0.293835
91;10;55.896416;0.235781
92;0;40.026711;0.542883
92;1;40.404551;0.36124
92;2;35.896836;0.270713
92;3;42.01478;0.216414
92;4;45.799024;0.18033
92;5;44.26613;0.154642
92;6;49.489716;0.135336
92;7;52.160002;0.120426
92;8;51.515383;0.108352
92;9;54.044329;0.213112
92;10;55.476677;0.178724
93;0;39.887863;0.539304
93;1;40.09321;0.357429
93;2;42.458779;0.267785
93;3;41.92488;0.214173
93;4;45.340289;0.178416
93;5;46.30111;0.152931
93;6;49.594532;0.133826
93;7;49.160374;0.119169
93;8;51.537358;0.107157
93;9;54.2338;0.28772
93;10;55.763108;0.197455
94;0;39.882202;0.531265
94;1;40.304563;0.35365
94;2;42.618708;0.265178
94;3;42.020254;0.212071
94;4;45.431444;0.1767
94;5;45.741474;0.151362
94;6;49.422105;0.132637
94;7;52.294186;0.118074
94;8;51.501301;0.106181
94;9;53.962427;0.284809
94;10;55.7345;0.204801
95;0;39.894925;0.525669
95;1;40.348309;0.34987
95;2;42.579374;0.262326
95;3;42.108784;0.20971
95;4;45.576618;0.174698
95;5;46.192151;0.149761
95;6;49.435577;0.131113
95;7;52.243566;0.116685
95;8;49.389167;0.105086
95;9;53.820494;0.189249
95;10;54.295431;0.211192
96;0;39.942632;0.520276
96;1;40.322048;0.346353
96;2;42.340551;0.259542
96;3;41.901292;0.207547
96;4;45.43193;0.172913
96;5;46.201839;0.148175
96;6;47.478826;0.129799
96;7;52.290614;0.115345
96;8;51.517758;0.103903
96;9;53.809852;0.204011
96;10;55.806487;0.196168
97;0;39.889717;0.514882
97;1;37.068103;0.342638
97;2;42.484269;0.256958
97;3;41.909546;0.205422
97;4;45.63976;0.171277
97;5;46.210357;0.146687
97;6;49.370639;0.128424
97;7;51.822865;0.114354
97;8;51.257614;0.102937
97;9;54.264431;0.276029
97;10;54.463257;0.252074
98;0;39.819317;0.512039
98;1;40.309512;0.339482
98;2;40.921653;0.254373
98;3;41.916248;0.203376
98;4;45.62329;0.169542
98;5;47.657689;0.145284
98;6;49.035168;0.12754
98;7;51.56993;0.113196
98;8;51.086243;0.101901
98;9;54.185087;0.273469
98;10;55.894075;0.238982
99;0;40.039174;0.504985
99;1;40.368857;0.33593
99;2;42.280779;0.251763
99;3;41.944253;0.201349
99;4;45.670065;0.167785
99;5;45.559392;0.143796
99;6;49.414029;0.126006
99;7;52.168808;0.112066
99;8;51.524177;0.100741
99;9;53.914716;0.182182
99;10;55.919488;0.246906
