k;d;avg;% of mispr
19;1;42.564188;1.697047
19;2;44.458597;1.266916
19;3;44.87755;1.011085
19;4;47.711431;0.841182
19;5;48.98813;0.720271
19;6;51.551388;0.631703
19;7;53.214723;0.561244
19;8;53.838861;0.505155
19;9;58.759791;0.959113
19;10;60.562205;0.864243
20;0;41.981294;2.44115
20;1;42.885269;1.614805
20;2;44.391034;1.205906
20;3;44.55066;0.962444
20;4;47.538871;0.800898
20;5;48.809374;0.685702
20;6;51.282428;0.599476
20;7;53.122809;0.535707
20;8;54.178373;0.481453
20;9;56.815466;0.956175
20;10;60.264622;0.826439
21;0;42.039053;2.327857
21;1;42.746421;1.540006
21;2;44.025671;1.150573
21;3;44.263889;0.918752
21;4;47.147362;0.764338
21;5;48.465646;0.654298
21;6;51.375496;0.573957
21;7;53.072853;0.50993
21;8;53.873678;0.459229
21;9;57.805309;0.811322
21;10;60.150338;0.777567
22;0;40.605911;2.224142
22;1;42.557405;1.472135
22;2;43.971769;1.100003
22;3;41.584954;0.878113
22;4;47.262777;0.730694
22;5;48.534385;0.626268
22;6;44.570123;0.548543
22;7;52.919856;0.489933
22;8;53.694605;0.439231
22;9;58.118278;0.810575
22;10;54.379824;0.923061
23;0;41.690812;2.130246
23;1;36.048124;1.410379
23;2;43.921446;1.053767
23;3;44.316531;0.841243
23;4;46.488017;0.70027
23;5;48.533673;0.59956
23;6;51.095235;0.526996
23;7;52.847452;0.468097
23;8;53.496906;0.420808
23;9;58.686139;0.893603
23;10;59.283574;0.681472
24;0;41.435939;2.043077
24;1;42.4312;1.353608
24;2;43.882916;1.011204
24;3;44.195483;0.80743
24;4;46.93631;0.671957
24;5;47.925323;0.575718
24;6;51.125972;0.504535
24;7;51.5223;0.448285
24;8;53.701074;0.403955
24;9;57.528391;0.731361
24;10;59.219734;0.663197
25;0;41.660028;1.962937
25;1;36.012392;1.30062
25;2;43.742857;0.971925
25;3;44.175295;0.776148
25;4;46.791131;0.64613
25;5;48.192192;0.553155
25;6;51.052099;0.484971
25;7;52.914979;0.430996
25;8;53.917315;0.388349
25;9;57.548047;0.741559
25;10;59.011799;0.630913
26;0;41.25555;1.888873
26;1;42.141276;1.251448
26;2;37.062248;0.935735
26;3;44.153844;0.747574
26;4;44.908111;0.622061
26;5;41.480032;0.532578
26;6;50.885811;0.465818
26;7;52.891957;0.415764
26;8;53.677243;0.372985
26;9;57.199935;0.688949
26;10;58.994367;0.617118
27;0;40.106161;1.821158
27;1;42.284181;1.206321
27;2;43.553997;0.902147
27;3;43.945159;0.7204
27;4;46.292811;0.599601
27;5;48.048651;0.513718
27;6;50.918353;0.44918
27;7;52.866462;0.400037
27;8;53.636645;0.359768
27;9;57.066056;0.691841
27;10;58.744054;0.627402
28;0;42.626321;1.756883
28;1;42.331026;1.164616
28;2;43.604055;0.870854
28;3;43.842805;0.695378
28;4;46.608488;0.578814
28;5;47.840769;0.495786
28;6;50.670469;0.435491
28;7;52.784775;0.387579
28;8;53.52749;0.347431
28;9;55.820709;0.746046
28;10;59.214391;0.656452
29;0;41.350229;1.697092
29;1;42.102905;1.125319
29;2;43.10598;0.841873
29;3;44.004624;0.672151
29;4;46.719974;0.559486
29;5;47.227996;0.479173
29;6;44.100376;0.419237
29;7;46.034264;0.373158
29;8;47.2709;0.336571
29;9;56.774629;0.647119
29;10;59.779891;0.699014
30;0;41.211093;1.642094
30;1;42.039772;1.088452
30;2;43.593815;0.814155
30;3;43.78208;0.650721
30;4;46.636835;0.541434
30;5;47.481509;0.46366
30;6;50.527826;0.405541
30;7;52.703356;0.360478
30;8;53.403767;0.324708
30;9;56.948678;0.626542
30;10;58.648754;0.620937
31;0;41.236424;1.58942
31;1;41.959494;1.054074
31;2;43.447357;0.788533
31;3;43.663062;0.62995
31;4;46.30652;0.52452
31;5;46.265364;0.449187
31;6;50.393099;0.3937
31;7;52.635879;0.350457
31;8;53.288373;0.315105
31;9;56.320503;0.563259
31;10;58.259187;0.514426
32;0;40.966595;1.541065
32;1;41.247106;1.021789
